term,estimate,std.error,statistic,p.value
(Intercept),-17.579094890510895,6.7584401693792335,-2.6010580030222483,0.012318816153809031
speed,3.9324087591240855,0.4155127766571222,9.463989990298368,1.4898364962950928e-12
