.metric,Week,Day,Hour
roc_auc,0.8906310457645119,0.8989930249519584,0.9293432141740864
sens,0.8232301362319008,0.8275223963197399,0.863642044744407
spec,0.8192581140732733,0.8454889257361107,0.8813554143138267
bal_accuracy,0.8275871422123222,0.8345975792843526,0.8536643859247854
ppv,0.63010884436557,0.2997222647870058,0.02540529897020817
npv,0.9435758525625277,0.9877148287623598,0.9994360995281586
